# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60086-5:2021 RLV
IEC 60086:2022 SER
IEC 60092-101:1994+AMD1:1995 CSV
IEC 60092-202:2016 RLV
IEC 60092-304:2022 PRV
IEC 60092-350:2020 RLV
IEC 60092-353:2016 RLV
IEC 60092-354:2020 RLV
IEC 60092-359:1987+AMD1:1994+AMD2:1999 CSV
IEC 60092-360:2021 RLV
IEC 60092-376:2017 RLV
IEC 60092-504:2016 RLV
IEC 60092:2022 SER
IEC 60094-3:1979+AMD2:1988 CSV
IEC 60095-1:2018 RLV
IEC 60095-4:2021 RLV
IEC 60096-0-1:1990+AMD1:2000 CSV
IEC 60096-0-1:2012+AMD1:2017 CSV
IEC 60099-1:1991+AMD1:1999 CSV
IEC 60099-4:1991+AMD1:1998+AMD2:2001 CSV
IEC 60099-4:2004+AMD1:2006+AMD2:2009 CSV
IEC 60099-5:1996+AMD1:1999 CSV
IEC 60099-5:2018 RLV
IEC 60099-8:2017 RLV
IEC 60107-3:1988+AMD1:1999 CSV
IEC 60107-4:1988+AMD1:1999 CSV
IEC 60107-5:1992+AMD1:1999 CSV
IEC 60112:2003+AMD1:2009 CSV
IEC 60112:2020 CMV
IEC 60115-1:1999+AMD1:2001 CSV
IEC 60117-1:1960+AMD1:1966+AMD2:1967+AMD3:1973 CSV
IEC 60117-2:1960+AMD1:1966+AMD2:1971+AMD3:1973 CSV
IEC 60117-4:1963+AMD1:1971 CSV
IEC 60117-5:1963+AMD1:1973 CSV
IEC 60117-6:1964+AMD1:1966+AMD2:1967+AMD3:1973 CSV
IEC 60118-1:1995+AMD1:1998 CSV
IEC 60118-2:1983+AMD1:1993 CSV
IEC 60118-4:2014+AMD1:2017 CSV
IEC 60122-1:2002+AMD1:2017 CSV
IEC 60122-3:1962 CSV
IEC 60127-1:1988+AMD1:1999+AMD2:2002 CSV
IEC 60127-1:2006+AMD1:2011+AMD2:2015 CSV
IEC 60127-2:2003+AMD1:2003+AMD2:2010 CSV
IEC 60127-2:2014+AMD1:2020 CSV
IEC 60127-3:1988+AMD1:1991 CSV
IEC 60127-3:2015+AMD1:2020 CSV
IEC 60127-4:2005+AMD1:2008+AMD2:2012 CSV
IEC 60137:2017 RLV
IEC 60143-2:2012+AMD1:2021 CSV
IEC 60156:2018 RLV
IEC 60157-1:1973+AMD1:1983 CSV
IEC 60158-1:1970+AMD1:1971 CSV
IEC 60168:1994+AMD1:1997+AMD2:2000 CSV
IEC 60172:2020 RLV
IEC 60189-1:2018 RLV
IEC 60191-4:1999+AMD1:2001+AMD2:2002 CSV
IEC 60191-4:2013+AMD1:2018 CSV
IEC 60204-1:1997+AMD1:1999 CSV
IEC 60204-1:2005+AMD1:2008 CSV
IEC 60204-1:2016+AMD1:2021 CSV
IEC 60204-11:2018 RLV
IEC 60204:2022 SER
IEC 60205:2006+AMD1:2009 CSV
IEC 60216-3:2021 RLV
IEC 60227-1:1993+AMD1:1995+AMD2:1998 CSV
IEC 60227-2:1997+AMD1:2003 CSV
IEC 60227-3:1993+AMD1:1997 CSV
IEC 60227-4:1992+AMD1:1997 CSV
IEC 60227-5:1997+AMD1:1997+AMD2:2003 CSV
IEC 60227-7:1995+AMD1:2003+AMD2:2011 CSV
IEC 60230:2018+AMD1:2021 CSV
IEC 60238:1998+AMD1:1999+AMD2:2002 CSV
IEC 60238:2004+AMD1:2008+AMD2:2011 CSV
IEC 60238:2016+AMD1:2017+AMD2:2020 CSV
IEC 60245-1:1994+AMD1:1997+AMD2:1997 CSV
IEC 60245-1:2003+AMD1:2007 CSV
IEC 60245-2:1994+AMD1:1997+AMD2:1997 CSV
IEC 60245-4:1994+AMD1:1997+AMD2:2003 CSV
IEC 60245-8:1998+AMD1:2003+AMD2:2011 CSV
IEC 60249-2-1:1985 CSV
IEC 60249-2-10:1987 CSV
IEC 60249-2-11:1987 CSV
IEC 60249-2-12:1987 CSV
IEC 60249-2-14:1988+AMD1:1989+AMD2:1990 CSV
IEC 60249-2-2:1985+AMD2:1990 CSV
IEC 60249-2-3:1987 CSV
IEC 60249-2-4:1987+AMD2:1992 CSV
IEC 60249-2-5:1987+AMD2:1992 CSV
IEC 60249-2-6:1985 CSV
IEC 60249-2-7:1987 CSV
IEC 60249-2-9:1987+AMD1:1989+AMD2:1990 CSV
IEC 60252-1:2010+AMD1:2013 CSV
IEC 60252-2:2010+AMD1:2013 CSV
IEC 60254-2:1997+AMD1:2000 CSV
IEC 60264-3-1:1999+AMD1:2003 CSV
IEC 60264-4-1:1997+AMD1:2009 CSV
IEC 60264-5-1:1997+AMD1:2003 CSV
IEC 60268-12:1987+AMD1:1991 CSV
IEC 60268-3:2018 RLV
IEC 60268-4:2018 RLV
IEC 60268-5:1989+AMD1:1993 CSV
IEC 60268-5:2003+AMD1:2007 CSV
IEC 60268-7:2010+AMD1:2020 CSV
IEC 60269-1:1998+AMD1:2005 CSV
IEC 60269-1:2006+AMD1:2009+AMD2:2014 CSV
IEC 60269-2-1:1998+AMD1:1999+AMD2:2002 CSV
IEC 60269-2:2013+AMD1:2016 CSV
IEC 60269-3-1:1994+AMD1:1995+AMD2:2001 CSV
IEC 60269-3:2010+AMD1:2013+AMD2:2019 CSV
IEC 60269-4:2009+AMD1:2012+AMD2:2016 CSV
IEC 60269-6:2010+AMD1:2021 CSV
IEC 60270:2000+AMD1:2015 CSV
IEC 60281:1969+AMD1:1975 CSV
IEC 60282-1:1974+AMD1:1975+AMD2:1978 CSV
IEC 60282-1:1994+AMD1:1996+AMD2:1997 CSV
IEC 60282-1:2009+AMD1:2014 CSV
IEC 60282-2:1995+AMD1:1997 CSV
IEC 60285:1993+AMD1:1995+AMD2:1998 CSV
IEC 60286-1:2017+AMD1:2021 CSV
IEC 60286-2:1997+AMD1:2002 CSV
IEC 60286-3:2019 RLV
IEC 60286-5:2003+AMD1:2009 CSV
IEC 60286-5:2018 RLV
IEC 60287-1-1:1994+AMD1:1995+AMD2:2001 CSV
IEC 60287-1-1:2006+AMD1:2014 CSV
