# NIST Circular - Pass
# Auto-generated by classify_fixtures.rb

NBS CIRC 390
NBS CIRC 391
NBS CIRC 392
NBS CIRC 393
NBS CIRC 394
NBS CIRC 395
NBS CIRC 396
NBS CIRC 397
NBS CIRC 398
!NBS CIRC 398supp1937!NBS CIRC 398sup1937
!NBS CIRC 398supp1940!NBS CIRC 398sup1940
!NBS CIRC 398supp1942!NBS CIRC 398sup1942
!NBS CIRC 398supp1951!NBS CIRC 398sup1951
NBS CIRC 399
NBS CIRC 3e2
NBS CIRC 3e3
NBS CIRC 4
NBS CIRC 40
NBS CIRC 400
NBS CIRC 401
NBS CIRC 402
NBS CIRC 403
NBS CIRC 404
NBS CIRC 405
NBS CIRC 406
NBS CIRC 407
NBS CIRC 408
NBS CIRC 409
NBS CIRC 40e2
NBS CIRC 40e3
NBS CIRC 41
NBS CIRC 410
!NBS CIRC 410supp!NBS CIRC 410sup
NBS CIRC 411
NBS CIRC 412
NBS CIRC 413
NBS CIRC 414
NBS CIRC 415
NBS CIRC 416
NBS CIRC 417
NBS CIRC 418
NBS CIRC 419
NBS CIRC 41e2
NBS CIRC 41e3
NBS CIRC 42
NBS CIRC 420
NBS CIRC 421
NBS CIRC 422
NBS CIRC 423
NBS CIRC 424
NBS CIRC 425
NBS CIRC 426
NBS CIRC 427
NBS CIRC 428
NBS CIRC 429
NBS CIRC 42e2
NBS CIRC 43
NBS CIRC 430
NBS CIRC 431
NBS CIRC 432
NBS CIRC 433
NBS CIRC 434
NBS CIRC 435
NBS CIRC 436
NBS CIRC 437
NBS CIRC 438
NBS CIRC 439
NBS CIRC 43e2
NBS CIRC 44
NBS CIRC 440
!NBS CIRC 440supp!NBS CIRC 440sup
NBS CIRC 441
NBS CIRC 442
NBS CIRC 443
NBS CIRC 444
NBS CIRC 445
NBS CIRC 446
NBS CIRC 447
NBS CIRC 448
NBS CIRC 449
NBS CIRC 44e2
NBS CIRC 45
NBS CIRC 450
NBS CIRC 451
NBS CIRC 452
NBS CIRC 453
NBS CIRC 454
NBS CIRC 455
NBS CIRC 456
NBS CIRC 457
NBS CIRC 458
NBS CIRC 459
NBS CIRC 46
NBS CIRC 460
!NBS CIRC 460supp1958!NBS CIRC 460sup1958
!NBS CIRC 460supp1961!NBS CIRC 460sup1961
!NBS CIRC 460supp1962!NBS CIRC 460sup1962
NBS CIRC 461
NBS CIRC 462
NBS CIRC 463
NBS CIRC 464
NBS CIRC 465
NBS CIRC 466
NBS CIRC 467v1
NBS CIRC 467v2
NBS CIRC 467v3
NBS CIRC 468
NBS CIRC 469
NBS CIRC 46e2
NBS CIRC 46e3
NBS CIRC 47
NBS CIRC 470
NBS CIRC 471
NBS CIRC 472
NBS CIRC 474
NBS CIRC 475
NBS CIRC 476
NBS CIRC 477
NBS CIRC 478
NBS CIRC 479
!NBS CIRC 47supp!NBS CIRC 47sup
NBS CIRC 48
NBS CIRC 480
NBS CIRC 481
NBS CIRC 482
NBS CIRC 483
NBS CIRC 484
NBS CIRC 485
NBS CIRC 486
NBS CIRC 487
NBS CIRC 488sec1
NBS CIRC 488sec2
NBS CIRC 488sec3
NBS CIRC 488sec4
NBS CIRC 488sec5
NBS CIRC 489
NBS CIRC 48e2
NBS CIRC 49
NBS CIRC 490
NBS CIRC 491
NBS CIRC 492
NBS CIRC 493
NBS CIRC 494
NBS CIRC 495
NBS CIRC 496
NBS CIRC 497
NBS CIRC 498
NBS CIRC 499
!NBS CIRC 499supp1!NBS CIRC 499sup1
!NBS CIRC 499supp2!NBS CIRC 499sup2
!NBS CIRC 499supp3!NBS CIRC 499sup3
NBS CIRC 49e2
NBS CIRC 4e2
NBS CIRC 5
NBS CIRC 50
NBS CIRC 500
NBS CIRC 501
NBS CIRC 502
NBS CIRC 503
NBS CIRC 505
NBS CIRC 506
NBS CIRC 507
NBS CIRC 508
NBS CIRC 509
NBS CIRC 50e2
NBS CIRC 51
NBS CIRC 510
!NBS CIRC 510supp1!NBS CIRC 510sup1
!NBS CIRC 510supp2!NBS CIRC 510sup2
NBS CIRC 511
NBS CIRC 512
NBS CIRC 513
NBS CIRC 514
NBS CIRC 515
NBS CIRC 516
NBS CIRC 517
NBS CIRC 518
NBS CIRC 519
NBS CIRC 52
NBS CIRC 520
NBS CIRC 521
NBS CIRC 522
NBS CIRC 523
NBS CIRC 524
NBS CIRC 525
NBS CIRC 526
NBS CIRC 527
NBS CIRC 528
NBS CIRC 529
NBS CIRC 52e2
NBS CIRC 53
NBS CIRC 530
NBS CIRC 531
NBS CIRC 532
NBS CIRC 533
NBS CIRC 534
NBS CIRC 535
NBS CIRC 536
NBS CIRC 537
NBS CIRC 538
NBS CIRC 539v1
NBS CIRC 539v10
NBS CIRC 539v2
NBS CIRC 539v3
NBS CIRC 539v4
NBS CIRC 539v5
