# British Standard
BS EN IEC 62566-2:2020
BS EN IEC 62841-4-5:2021+A11:2021
BS EN IEC 62841-4-7:2022+A11:2022
BS EN IEC 62985:2019
BS EN IEC/IEEE 60076-57-1202:2025+A11:2025
BS EN IEC/IEEE 63184:2025
BS EN ISO 105-B06:2020
BS EN ISO 105-B07:2009
BS EN ISO 105-B10:2011
BS EN ISO 11819-1:2023
BS EN ISO 12846:2012
BS EN ISO 13297:2021+A11:2023
BS EN ISO 13337:2009
BS EN ISO 14632:2021
BS EN ISO 15798 AMD1
BS EN ISO 15848-1 AMD1
BS EN ISO 16649-3:2015
BS EN ISO 17779:2025
BS EN ISO 21647:2009
BS EN ISO 21909-2:2023
BS EN ISO 23251:2007+A1:2008
BS EN ISO 26304:2011
BS EN ISO 26845:2008
BS EN ISO 4287 AMD2
BS EN ISO 4413:2010
BS EN ISO 4519:2016
BS EN ISO 5395-3:2013+A2:2018
BS EN ISO 5821:2009
BS EN ISO 9466:2025
BS EN ISO/IEEE 11073-10700:2025

# Adoptions from ISO and IEC
BS CISPR 11 AMD2
BS CISPR 12:1997
BS CISPR 16-1:1998
BS CISPR 16-1:1999
BS CISPR 16-2:1996
BS CISPR 16-3:2000
BS CISPR 16-4:2002
BS IEC 60747-8:2000
BS IEC SRD 62559-4:2020
BS IEC SRD 62913-1:2019
BS IEC SRD 62913-2-1:2019
BS IEC SRD 62913-2-2:2019
BS IEC SRD 62913-2-3:2019
BS IEC SRD 62913-2-4:2019
BS IEC SRD 63188:2022
BS IEC SRD 63199:2020
BS IEC SRD 63200:2021
BS IEC SRD 63219:2022
BS IEC SRD 63233-1:2022
BS IEC SRD 63234-1:2020
BS IEC SRD 63234-2:2020
BS IEC SRD 63235:2021
BS IEC SRD 63268:2020
BS IEC/IEEE 61869-21:2025
BS ISO 10302-1:2011
BS ISO 10302-2:2011
BS ISO 10889-5:1997
BS ISO 1268-11:2005
BS ISO 17378-2:2014
BS ISO 20662:2020
BS ISO 21467:2023
BS ISO 7752-3:2013
BS ISO 815-1:2008
BS ISO 8727:1997+A1:2015
BS ISO/IEC 13818-7:1997
BS ISO/IEC 13818-7:2003
BS ISO/IEC 15288:2002
BS ISO/IEC 19794-2:2011
BS ISO/IEC 19794-4:2011
BS ISO/IEC 19794-9:2011
BS ISO/IEC 29109-5:2014
BS ISO/IEC 29141:2009
BS ISO/IEC/IEEE 29148:2011
BS ISO/IEC/IEEE 80005-1:2012
BS ISO/SAE 12906:2024

# Identifier with an SDO equivalent identifier
BS 4584-103.2:1990 (IEC 60249-3A:1976)
BS 6221-1:1990 (IEC 60326-1:1984)
BS 5499-11:2002 (AMD 16783)
BS HD 60364-8-82 (AS BS 7671)
